Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11
Colônia Terra Nova; 17 531 ; 10 110 ; 7 421 ;   895,20 ;  1 090,27 ;   629,42 ;   600,00 ;   700,00 ;   510,00 ;1302603005025
Compensa; 36 041 ; 19 977 ; 16 064 ;  1 117,39 ;  1 254,65 ;   946,71 ;   700,00 ;   800,00 ;   565,00 ;1302603005004
Coroado; 26 478 ; 13 866 ; 12 613 ;  1 240,04 ;  1 586,81 ;   858,80 ;   620,00 ;   800,00 ;   510,00 ;1302603005019
Distrito Industrial I-Distrito Industrial Ii-Puraquequara-Colônia Antônio Aleixo-Mauazinho; 23 710 ; 13 515 ; 10 195 ;   761,63 ;   867,76 ;   620,94 ;   510,00 ;   600,00 ;   510,00 ;1302603005002
Dom Pedro I-São Geraldo-Chapada; 20 128 ; 9 947 ; 10 181 ;  2 585,65 ;  2 918,01 ;  2 260,91 ;  1 200,00 ;  1 500,00 ;  1 020,00 ;1302603005012
Flores; 24 616 ; 12 658 ; 11 958 ;  2 598,46 ;  3 009,09 ;  2 163,83 ;  1 100,00 ;  1 400,00 ;   950,00 ;1302603005021
Gilberto Mestrinho; 23 607 ; 13 327 ; 10 280 ;   769,24 ;   893,46 ;   608,20 ;   540,00 ;   650,00 ;   510,00 ;1302603005032
Glória-Santo Antônio-São Raimundo-Presidente-Vargas; 28 338 ; 14 516 ; 13 822 ;  1 240,41 ;  1 322,97 ;  1 153,70 ;   750,00 ;   800,00 ;   630,00 ;1302603005013
Japiim; 27 747 ; 14 538 ; 13 209 ;  1 628,62 ;  1 778,15 ;  1 464,04 ;   800,00 ;   900,00 ;   700,00 ;1302603005018
Jorge Teixeira; 50 602 ; 28 702 ; 21 900 ;   760,82 ;   890,67 ;   590,65 ;   530,00 ;   665,00 ;   510,00 ;1302603005029
Lago Azul-Santa Etelvina; 15 085 ; 8 484 ; 6 601 ;   946,44 ;  1 232,11 ;   579,25 ;   547,00 ;   690,00 ;   510,00 ;1302603005001
Lírio do Vale-Planalto-Ponta Negra; 24 598 ; 12 738 ; 11 860 ;  5 384,93 ;  6 868,32 ;  3 791,75 ;  1 000,00 ;  1 200,00 ;   900,00 ;1302603005015
Monte das Oliveiras; 18 414 ; 10 401 ; 8 013 ;   784,72 ;   951,03 ;   568,85 ;   580,00 ;   680,00 ;   510,00 ;1302603005023
Nova Cidade; 29 224 ; 15 448 ; 13 776 ;  1 192,10 ;  1 346,25 ;  1 019,24 ;   800,00 ;   920,00 ;   640,00 ;1302603005031
Nova Esperança-Santo Agostinho; 17 915 ; 9 592 ; 8 323 ;  1 636,93 ;  1 775,54 ;  1 477,21 ;   800,00 ;   900,00 ;   700,00 ;1302603005014
Novo Aleixo; 47 431 ; 25 985 ; 21 446 ;  1 060,00 ;  1 245,63 ;   835,08 ;   700,00 ;   800,00 ;   540,00 ;1302603005030
Parque 10 de Novembro; 22 659 ; 11 149 ; 11 510 ;  4 175,42 ;  4 473,27 ;  3 886,93 ;  1 700,00 ;  2 000,00 ;  1 436,00 ;1302603005022
Redenção-Da Paz; 25 637 ; 13 553 ; 12 084 ;  1 331,63 ;  1 598,88 ;  1 031,89 ;   700,00 ;   800,00 ;   540,00 ;1302603005016
São Francisco-Petrópolis; 29 798 ; 15 761 ; 14 037 ;  1 244,23 ;  1 385,47 ;  1 085,63 ;   750,00 ;   800,00 ;   600,00 ;1302603005017
São Jorge-Vila da Prata; 17 504 ; 9 171 ; 8 333 ;  1 490,70 ;  1 804,16 ;  1 145,73 ;   800,00 ;  1 000,00 ;   600,00 ;1302603005033
São José Operário; 32 773 ; 17 642 ; 15 131 ;   899,81 ;  1 019,55 ;   760,19 ;   600,00 ;   700,00 ;   510,00 ;1302603005027
Tancredo Neves; 21 235 ; 11 686 ; 9 549 ;   731,03 ;   879,87 ;   548,89 ;   510,00 ;   600,00 ;   510,00 ;1302603005028
Tarumã-Tarumã-Açu-Manaus (demais Setores); 22 123 ; 12 988 ; 9 135 ;   864,37 ;   948,55 ;   744,70 ;   540,00 ;   600,00 ;   510,00 ;1302603005026
Manicoré; 18 109 ; 10 524 ; 7 585 ;   765,79 ;   932,11 ;   535,00 ;   500,00 ;   510,00 ;   314,00 ;1302702
Área 001; 8 169 ; 4 839 ; 3 331 ;   838,56 ;  1 093,27 ;   468,52 ;   510,00 ;   600,00 ;   264,00 ;1302702003001
Área 002; 9 939 ; 5 686 ; 4 254 ;   705,97 ;   794,95 ;   587,06 ;   500,00 ;   500,00 ;   427,00 ;1302702003002
Parintins; 44 650 ; 23 235 ; 21 415 ;   702,33 ;   770,00 ;   628,90 ;   510,00 ;   510,00 ;   500,00 ;1303403
Área 001; 10 654 ; 5 342 ; 5 313 ;   888,36 ;  1 032,42 ;   743,51 ;   510,00 ;   510,00 ;   510,00 ;1303403003001
Área 002; 19 030 ; 9 552 ; 9 478 ;   706,76 ;   767,47 ;   645,57 ;   510,00 ;   510,00 ;   510,00 ;1303403003002
Área 003; 14 965 ; 8 341 ; 6 624 ;   564,26 ;   604,85 ;   513,14 ;   400,00 ;   500,00 ;   310,00 ;1303403003003
Tefé; 25 471 ; 13 557 ; 11 915 ;   934,56 ;  1 100,55 ;   745,69 ;   510,00 ;   560,00 ;   510,00 ;1304203
Área 001; 9 531 ; 4 921 ; 4 610 ;   917,54 ;  1 140,40 ;   679,68 ;   510,00 ;   600,00 ;   510,00 ;1304203003001
Área 002; 15 941 ; 8 636 ; 7 305 ;   944,73 ;  1 077,85 ;   787,36 ;   510,00 ;   510,00 ;   510,00 ;1304203003002
Roraima;;;;;;;;;;
Boa Vista; 149 266 ; 76 769 ; 72 496 ;  1 424,96 ;  1 638,98 ;  1 198,31 ;   650,00 ;   800,00 ;   590,00 ;1400100
Área 001; 7 952 ; 4 575 ; 3 377 ;   876,43 ;   980,22 ;   735,79 ;   510,00 ;   600,00 ;   510,00 ;1400100005001
